종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
069500,1,KODEX 200,30640,5,-250,-0.81,30607.0,-14.4298,9784052,301620,47247,국내 시장지수,KODEX,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,17700,2,700,4.12,17844.0,12.6573,13690582,238235,42388,해외 주식,TIGER,False,False,False
122630,3,KODEX 레버리지,14135,5,-185,-1.29,14147.0,-28.0583,57013787,815169,21909,국내 파생,KODEX,False,True,False
133690,4,TIGER 미국나스닥100,67055,2,955,1.44,67176.0,-15.3487,118882,7959,19929,해외 주식,TIGER,False,False,False
252670,3,KODEX 200선물인버스2X,3385,2,40,1.2,3386.0,34.3373,390559840,1305629,19779,국내 파생,KODEX,True,False,False
214980,6,KODEX 단기채권PLUS,103760,2,15,0.01,103770.0,-0.0241,548306,56897,18985,채권,KODEX,False,False,False
102110,1,TIGER 200,30725,5,-220,-0.71,30666.0,-14.4244,2772518,85635,18481,국내 시장지수,TIGER,False,False,False
157450,6,TIGER 단기통안채,100935,2,5,0.0,100937.0,0.2134,4575,461,18296,채권,TIGER,False,False,False
360750,4,TIGER 미국S&P500,12280,2,150,1.24,12315.0,-10.9333,2250721,27614,16302,해외 주식,TIGER,False,False,False
153130,6,KODEX 단기채권,103405,2,5,0.0,103414.0,0.058,5039635,521203,14516,채권,KODEX,False,False,False
292150,2,TIGER TOP10,9960,5,-65,-0.65,9953.0,-16.263,347841,3479,13775,국내 업종/테마,TIGER,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,101030,2,310,0.31,100995.0,-4.9049,1794,181,13687,채권,KODEX,False,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,9145,2,75,0.83,9176.0,-18.9238,1017025,9290,12780,해외 주식,TIGER,False,False,False
102780,2,KODEX 삼성그룹,8095,5,-80,-0.98,8090.0,-6.6888,572647,4668,12733,국내 업종/테마,KODEX,False,False,False
381170,4,TIGER 미국테크TOP10 INDXX,9870,2,155,1.6,9903.0,-18.0515,567614,5595,12732,해외 주식,TIGER,False,False,False
305720,2,KODEX 2차전지산업,17955,5,-825,-4.39,17952.0,4.5016,4499802,82795,12120,국내 업종/테마,KODEX,False,False,False
305540,2,TIGER 2차전지테마,18355,5,-985,-5.09,18348.0,3.917,3859860,72663,11720,국내 업종/테마,TIGER,False,False,False
310970,1,TIGER MSCI Korea TR,12495,5,-120,-0.95,12496.0,-14.1253,7088,89,11558,국내 시장지수,TIGER,False,False,False
278530,1,KODEX 200TR,10215,5,-80,-0.78,10193.0,-14.3511,99373,1022,10634,국내 시장지수,KODEX,False,False,False
423160,7,KODEX KOFR금리액티브(합성),100260,2,5,0.0,100257.0,,1466,146,10222,기타,KODEX,False,False,False
148020,1,KBSTAR 200,30785,5,-150,-0.48,30711.0,-14.8383,835207,25804,10144,국내 시장지수,KBSTAR,False,False,False
114800,3,KODEX 인버스,5060,2,35,0.7,5062.0,16.3194,60215412,302568,8840,국내 파생,KODEX,True,False,False
233740,3,KODEX 코스닥150레버리지,7505,5,-475,-5.95,7483.0,-33.1939,47523187,371663,8165,국내 파생,KODEX,False,True,False
