종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2022.03),추정PERlEPS,PBRlBPS (2022.03),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2021.12,PERlEPS(2021.12),PBRlBPS (2021.12),PERlEPS(2022.02),PBRlBPS (2022.02),배당수익률l2021.11
카이노스메드 *,11450.0,1520.0,+15.31%,9610.0,9930.0,125641.0,1413.0,0.0,2022-07-12,카이노스메드,284620,,,,,,,,,,,,,,,,,"2,219  억원",코스닥 362위,22322396,500원  l  1주,22322396,828098,3.71%,N/A  l  N/A,"21,510  l  8,629",N/A  l  -770원,N/A  l  N/A,125.82배  l  79원,,106.06배,+0.27%,,,,,,
일동제약,38350.0,2900.0,+8.18%,36600.0,36650.0,1291093.0,49785.0,6060869.0,2022-07-12,일동제약,249420,1530.0,-60.0,-210.0,-3.92,-13.73,,,,,,,,,,,,1조  949  억원,코스피 200위,26803285,"1,000원  l  1주",26803285,1088414,4.06%,"4.00매수  l  50,000","79,500  l  12,400","N/A  l  -8,637원",N/A  l  N/A,"5.47배  l  7,471원",,106.06배,+0.29%,,,,,,
이글벳 *,6640.0,470.0,+7.62%,6050.0,6150.0,362894.0,2395.0,31238.0,2022-07-12,이글벳,044960,,,,,,,,,,,,,,,,,803  억원,코스닥 996위,12641883,500원  l  1주,12641883,139638,1.10%,N/A  l  N/A,"9,700  l  5,600",21.03배  l  302원,N/A  l  N/A,"1.87배  l  3,391원",,106.06배,+0.27%,0.79%,,,,,
애드바이오텍 *,5000.0,230.0,+4.82%,4715.0,4950.0,18666.0,91.0,54126.0,2022-07-12,애드바이오텍,179530,,,,,,,,,,,,,,,,,448  억원,코스닥 1357위,9140444,500원  l  1주,9140444,270546,2.96%,N/A  l  N/A,"11,400  l  4,485",,N/A  l  N/A,,,106.06배,+0.29%,,N/A  l  -347원,"3.20배  l  1,530원",,,
신풍제약우,48600.0,1600.0,+3.40%,48650.0,48700.0,2085.0,101.0,29385.0,2022-07-12,신풍제약우,019175,,,,,,,,,,,,,,,,,"1,032  억원",코스피 794위,2200000,500원  l  1주,2200000,8518,0.39%,N/A  l  N/A,"135,000  l  30,950",N/A  l  -333원,N/A  l  N/A,"6.91배  l  6,792원",,106.06배,+0.27%,,,,,,
국제약품,6000.0,170.0,+2.92%,5790.0,5830.0,128649.0,768.0,2115335.0,2022-07-12,국제약품,002720,,,,,,,,,,,,,,,,,"1,200  억원",코스피 728위,20195149,"1,000원  l  1주",20195149,265688,1.32%,N/A  l  N/A,"9,051  l  4,050",N/A  l  -13원,N/A  l  N/A,"1.62배  l  3,660원",,106.06배,+0.27%,,,,,,
지놈앤컴퍼니 *,19750.0,550.0,+2.86%,19100.0,19150.0,14122.0,274.0,286561.0,2022-07-12,지놈앤컴퍼니,314130,,,,,,,,,,,,,,,,,"2,823  억원",코스닥 253위,14079521,500원  l  1주,14079521,83153,0.59%,N/A  l  N/A,"57,600  l  15,350","N/A  l  -2,584원",N/A  l  N/A,"3.06배  l  6,562원",,106.06배,+0.22%,,,,,,
현대약품,6010.0,160.0,+2.74%,5850.0,5860.0,820250.0,4969.0,5026102.0,2022-07-12,현대약품,004310,,,,,,,,,,,,,,,,,"2,051  억원",코스피 575위,32000000,500원  l  1주,32000000,400690,1.25%,N/A  l  N/A,"7,200  l  3,780",,N/A  l  N/A,,,106.06배,+0.29%,,,,N/A  l  -32원,"2.06배  l  3,115원",0.47%
대원제약,18800.0,500.0,+2.73%,18550.0,18600.0,148304.0,2775.0,697751.0,2022-07-12,대원제약,003220,1115.0,97.0,54.0,8.74,4.8,,,,,430.0,42.52,,,,,,"4,117  억원",코스피 362위,21842836,500원  l  1주,21842836,3893057,17.82%,"4.00매수  l  23,200","23,712  l  13,341","16.10배  l  1,171원","13.00배  l  1,422원","1.78배  l  10,611원",,106.06배,+0.22%,1.03%,,,,,
일동홀딩스,31250.0,800.0,+2.63%,31600.0,31650.0,406833.0,12970.0,3242445.0,2022-07-12,일동홀딩스,000230,,,,,,,,,,,,,,,,,"3,641  억원",코스피 407위,11540400,"1,000원  l  1주",11540400,152070,1.32%,N/A  l  N/A,"59,200  l  10,950","N/A  l  -9,723원",N/A  l  N/A,"6.22배  l  5,075원",,106.06배,+0.29%,0.32%,,,,,
동화약품,11150.0,250.0,+2.29%,10900.0,10950.0,35622.0,394.0,184120.0,2022-07-12,동화약품,000020,,,,,,,,,,,,,,,,,"3,086  억원",코스피 445위,27931470,"1,000원  l  1주",27931470,1442994,5.17%,N/A  l  N/A,"21,550  l  8,920",17.48배  l  632원,N/A  l  N/A,"0.88배  l  12,519원",,106.06배,+0.29%,1.63%,,,,,
셀트리온,189500.0,3500.0,+1.88%,185000.0,185500.0,104962.0,19890.0,344098.0,2022-07-12,셀트리온,068270,5211.0,1686.0,1431.0,32.36,27.46,,,,,841.0,221.1,,,,,,"26조  3,940  억원",코스피 12위,140767851,"1,000원  l  1주",140767851,28971049,20.58%,"4.00매수  l  210,200","294,935  l  139,000","52.29배  l  3,586원","49.00배  l  3,857원","6.92배  l  27,110원",,106.06배,+0.27%,0.39%,,,,,
이연제약,25950.0,450.0,+1.76%,25500.0,25550.0,118248.0,3095.0,715435.0,2022-07-12,이연제약,102460,,,,,,,,,,,,,,,,,"4,644  억원",코스피 335위,17998577,500원  l  1주,17998577,247984,1.38%,N/A  l  N/A,"73,000  l  19,600",73.71배  l  350원,N/A  l  N/A,"1.94배  l  13,291원",,106.06배,+0.27%,0.97%,,,,,
종근당,90800.0,1500.0,+1.68%,89300.0,89700.0,4155.0,374.0,13263.0,2022-07-12,종근당,185750,,,,,,,,,,,,,,,,,1조  813  억원,코스피 200위,11988038,"2,500원  l  1주",11988038,868273,7.24%,"4.00매수  l  114,444","137,454  l  84,200","23.98배  l  3,762원","14.00배  l  6,557원","1.87배  l  48,208원",,106.06배,+0.22%,1.06%,,,,,
부광약품,9020.0,140.0,+1.58%,8680.0,8880.0,94223.0,849.0,396841.0,2022-07-12,부광약품,003000,,,,,,,,,,,,,,,,,"6,431  억원",코스피 285위,71063049,500원  l  1주,71063049,5022085,7.07%,N/A  l  N/A,"23,500  l  7,880","3,016.67배  l  3원",N/A  l  N/A,"2.38배  l  3,801원",,106.06배,+0.29%,1.11%,,,,,
KPX생명과학 *,5780.0,90.0,+1.58%,5690.0,5700.0,251860.0,1467.0,2783528.0,2022-07-12,KPX생명과학,114450,,,,,,,,,,,,,,,,,860  억원,코스닥 949위,15000000,500원  l  1주,15000000,80709,0.54%,N/A  l  N/A,"12,700  l  3,905",N/A  l  -168원,N/A  l  N/A,"1.52배  l  3,760원",,106.06배,+0.29%,,,,,,
유나이티드제약,24500.0,350.0,+1.45%,24250.0,24350.0,9855.0,241.0,69168.0,2022-07-12,유나이티드제약,033270,,,,,,,,,,,,,,,,,"4,004  억원",코스피 372위,16244822,500원  l  1주,16244822,1417068,8.72%,N/A  l  N/A,"63,400  l  20,550","12.94배  l  1,905원",N/A  l  N/A,"1.19배  l  20,701원",,106.06배,+0.29%,1.50%,,,,,
신풍제약,26000.0,350.0,+1.36%,26150.0,26200.0,178919.0,4713.0,1070194.0,2022-07-12,신풍제약,019170,,,,,,,,,,,,,,,,,"1조  3,511  억원",코스피 171위,52984990,500원  l  1주,52984990,3258111,6.15%,N/A  l  N/A,"79,000  l  19,900",N/A  l  -333원,N/A  l  N/A,"3.75배  l  6,792원",,106.06배,+0.27%,,,,,,
바이오플러스 *,30400.0,400.0,+1.33%,30050.0,30250.0,51556.0,1560.0,434874.0,2022-07-12,바이오플러스,099430,135.0,64.0,51.0,47.16,37.78,,,,,339.0,88.42,,,,,,"4,606  억원",코스닥 132위,14482716,500원  l  1주,14482716,161205,1.11%,"4.00매수  l  36,333","43,000  l  20,350",37.99배  l  837원,"22.00배  l  1,466원","5.42배  l  5,871원",,106.06배,+0.29%,,,,,,
일양약품우,26000.0,300.0,+1.17%,25700.0,26000.0,199.0,5.0,2409.0,2022-07-12,일양약품우,007575,,,,,,,,,,,,,,,,,114  억원,코스피 1448위,445080,"2,500원  l  1주",445080,1168,0.26%,N/A  l  N/A,"44,500  l  24,000","25.10배  l  1,024원",N/A  l  N/A,"2.12배  l  12,149원",,106.06배,+0.29%,0.88%,,,,,
셀트리온헬스케어 *,72500.0,800.0,+1.12%,71100.0,71500.0,126241.0,9176.0,604127.0,2022-07-12,셀트리온헬스케어,091990,4522.0,596.0,480.0,13.17,10.61,,,,,361.0,198.48,,,,,,"11조  4,504  억원",코스닥 1위,158154885,"1,000원  l  1주",158154885,24365846,15.41%,"4.00매수  l  85,500","123,383  l  53,800","69.55배  l  1,041원","52.00배  l  1,397원","5.53배  l  13,091원",,106.06배,+0.22%,0.35%,,,,,
삼일제약,7970.0,70.0,+0.89%,7750.0,7850.0,22571.0,179.0,401491.0,2022-07-12,삼일제약,000520,,,,,,,,,,,,,,,,,"1,128  억원",코스피 756위,13701645,500원  l  1주,13701645,423083,3.09%,N/A  l  N/A,"11,700  l  6,740",N/A  l  -416원,N/A  l  N/A,"1.59배  l  5,179원",,106.06배,+0.29%,0.97%,,,,,
티움바이오 *,16950.0,150.0,+0.89%,16900.0,16950.0,19458.0,333.0,76979.0,2022-07-12,티움바이오,321550,,,,,,,,,,,,,,,,,"4,100  억원",코스닥 155위,23976226,500원  l  1주,23976226,37429,0.16%,N/A  l  N/A,"27,100  l  14,800","N/A  l  -1,307원",N/A  l  N/A,"5.12배  l  3,342원",,106.06배,+0.29%,,,,,,
종근당바이오,29250.0,250.0,+0.86%,28900.0,29000.0,3015.0,87.0,24035.0,2022-07-12,종근당바이오,063160,448.0,,,,,,,,,,,,,,,,"1,618  억원",코스피 642위,5485962,"2,500원  l  1주",5485962,85105,1.55%,N/A  l  N/A,"61,700  l  24,900","N/A  l  -1,061원",N/A  l  N/A,"1.01배  l  29,223원",,106.06배,+0.27%,0.34%,,,,,
에이비온 *,8650.0,70.0,+0.82%,8580.0,8610.0,4081.0,35.0,120653.0,2022-07-12,에이비온,203400,,,,,,,,,,,,,,,,,"1,568  억원",코스닥 518위,18824687,500원  l  1주,18824687,115575,0.61%,N/A  l  N/A,"26,450  l  6,970","N/A  l  -2,695원",N/A  l  N/A,"5.23배  l  1,594원",,106.06배,+0.29%,,,,,,
대성미생물 *,12400.0,100.0,+0.81%,12450.0,12500.0,335.0,4.0,7243.0,2022-07-12,대성미생물,036480,,,,,,,,,,,,,,,,,464  억원,코스닥 1338위,3800000,500원  l  1주,3800000,41825,1.10%,N/A  l  N/A,"21,050  l  10,000",18.05배  l  676원,N/A  l  N/A,"1.21배  l  10,118원",,106.06배,+0.27%,0.62%,,,,,
지엘팜텍 *,909.0,7.0,+0.78%,890.0,902.0,567.0,1.0,62688.0,2022-07-12,지엘팜텍,204840,,,,,,,,,,,,,,,,,553  억원,코스닥 1244위,62104061,100원  l  1주,62104061,241661,0.39%,N/A  l  N/A,"1,535  l  801",N/A  l  -78원,N/A  l  N/A,3.76배  l  237원,,106.06배,+0.29%,,,,,,
팜젠사이언스,8320.0,60.0,+0.73%,8370.0,8380.0,83678.0,704.0,721938.0,2022-07-12,팜젠사이언스,004720,,,,,,,,,,,,,,,,,"1,299  억원",코스피 705위,15477041,500원  l  1주,15477041,355740,2.30%,N/A  l  N/A,"15,900  l  5,870","1.84배  l  4,557원",N/A  l  N/A,"0.69배  l  12,225원",,106.06배,+0.29%,,,,,,
바이넥스 *,15300.0,100.0,+0.66%,15200.0,15250.0,36806.0,563.0,318843.0,2022-07-12,바이넥스,053030,374.0,48.0,,12.72,,,,,,142.0,107.28,,,,,,"4,875  억원",코스닥 123위,31761048,500원  l  1주,31761048,2377741,7.49%,"4.00매수  l  19,500","21,250  l  11,400",38.76배  l  396원,N/A  l  N/A,"2.61배  l  5,888원",,106.06배,+0.22%,,,,,,
한독,18100.0,100.0,+0.56%,18000.0,18800.0,282.0,5.0,15334.0,2022-07-12,한독,002390,,,,,,,,,,,,,,,,,"2,422  억원",코스피 514위,13763533,500원  l  1주,13763533,192845,1.40%,N/A  l  N/A,"28,150  l  16,350",139.68배  l  126원,N/A  l  N/A,"0.66배  l  26,515원",,106.06배,+0.27%,1.99%,,,,,
에스티팜 *,96500.0,500.0,+0.52%,95100.0,95500.0,4722.0,455.0,70009.0,2022-07-12,에스티팜,237690,486.0,36.0,27.0,7.4,5.6,,,,,108.0,888.02,,,,,,"1조  7,850  억원",코스닥 16위,18808775,500원  l  1주,18808775,0,0.00%,"4.00매수  l  141,111","150,800  l  82,100",173.18배  l  548원,146.00배  l  652원,"5.67배  l  16,744원",,106.06배,+0.22%,0.53%,,,,,
셀트리온제약 *,79200.0,400.0,+0.51%,75500.0,76500.0,26197.0,2085.0,144254.0,2022-07-12,셀트리온제약,068760,,,,,,,,,,,,,,,,,"2조  9,693  억원",코스닥 6위,37681053,500원  l  1주,37681053,2891231,7.67%,N/A  l  N/A,"173,597  l  71,300",94.03배  l  838원,N/A  l  N/A,"8.91배  l  8,840원",,106.06배,+0.29%,,,,,,
