종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PBR,PPS,BPS,PER(배),EPS(원),PBR(배),BPS(원),배당수익률(%)
카이노스메드 *,11450.0,1520.0,+15.31%,9610.0,9930.0,125641.0,1413.0,0.0,2022-07-12,284620,,,,,,22322396,22322396,828098,3.71%,106.06,+0.27%,코스닥,2219,362,21510,8629,12881,2.4927569822690927,-10060.0,0.5323105532310554,,,,125.82배 , 79원, 79원,,-770.0,125.82,79.0,
일동제약,38350.0,2900.0,+8.18%,36600.0,36650.0,1291093.0,49785.0,6060869.0,2022-07-12,249420,1530.0,-60.0,-210.0,-3.92,-13.73,26803285,26803285,1088414,4.06%,106.06,+0.29%,코스피,1949,200,79500,12400,67100,6.411290322580645,-41150.0,0.48238993710691824,50000.0,4.0,매수,5.47배 ," 7,471원"," 7,471원",,-8637.0,5.47,7471.0,
이글벳 *,6640.0,470.0,+7.62%,6050.0,6150.0,362894.0,2395.0,31238.0,2022-07-12,044960,,,,,,12641883,12641883,139638,1.10%,106.06,+0.27%,코스닥,803,996,9700,5600,4100,1.7321428571428572,-3060.0,0.6845360824742268,,,,1.87배 ," 3,391원"," 3,391원",21.03,302.0,1.87,3391.0,0.79
애드바이오텍 *,5000.0,230.0,+4.82%,4715.0,4950.0,18666.0,91.0,54126.0,2022-07-12,179530,,,,,,9140444,9140444,270546,2.96%,106.06,+0.29%,코스닥,448,1357,11400,4485,6915,2.5418060200668897,-6400.0,0.43859649122807015,,,,,,,,-347.0,3.2,1530.0,
신풍제약우,48600.0,1600.0,+3.40%,48650.0,48700.0,2085.0,101.0,29385.0,2022-07-12,019175,,,,,,2200000,2200000,8518,0.39%,106.06,+0.27%,코스피,1032,794,135000,30950,104050,4.361873990306947,-86400.0,0.36,,,,6.91배 ," 6,792원"," 6,792원",,-333.0,6.91,6792.0,
국제약품,6000.0,170.0,+2.92%,5790.0,5830.0,128649.0,768.0,2115335.0,2022-07-12,002720,,,,,,20195149,20195149,265688,1.32%,106.06,+0.27%,코스피,1200,728,9051,4050,5001,2.234814814814815,-3051.0,0.6629101756711966,,,,1.62배 ," 3,660원"," 3,660원",,-13.0,1.62,3660.0,
지놈앤컴퍼니 *,19750.0,550.0,+2.86%,19100.0,19150.0,14122.0,274.0,286561.0,2022-07-12,314130,,,,,,14079521,14079521,83153,0.59%,106.06,+0.22%,코스닥,2823,253,57600,15350,42250,3.752442996742671,-37850.0,0.3428819444444444,,,,3.06배 ," 6,562원"," 6,562원",,-2584.0,3.06,6562.0,
현대약품,6010.0,160.0,+2.74%,5850.0,5860.0,820250.0,4969.0,5026102.0,2022-07-12,004310,,,,,,32000000,32000000,400690,1.25%,106.06,+0.29%,코스피,2051,575,7200,3780,3420,1.9047619047619047,-1190.0,0.8347222222222223,,,,,,,,-32.0,2.06,3115.0,0.47
대원제약,18800.0,500.0,+2.73%,18550.0,18600.0,148304.0,2775.0,697751.0,2022-07-12,003220,1115.0,97.0,54.0,8.74,4.8,21842836,21842836,3893057,17.82%,106.06,+0.22%,코스피,4117,362,23712,13341,10371,1.7773780076456038,-4912.0,0.7928475033738192,23200.0,4.0,매수,1.78배 ," 10,611원"," 10,611원",16.1,1171.0,1.78,10611.0,1.03
일동홀딩스,31250.0,800.0,+2.63%,31600.0,31650.0,406833.0,12970.0,3242445.0,2022-07-12,000230,,,,,,11540400,11540400,152070,1.32%,106.06,+0.29%,코스피,3641,407,59200,10950,48250,5.406392694063927,-27950.0,0.5278716216216216,,,,6.22배 ," 5,075원"," 5,075원",,-9723.0,6.22,5075.0,0.32
